date,series,value,source,retrieved_at
2022-01-01,Alimentos y bebidas no alcohólicas,639.405,"INDEC IPC cuadros (divisions, index levels)",2026-06-13T15:27:00
2022-02-01,Alimentos y bebidas no alcohólicas,687.1658,"INDEC IPC cuadros (divisions, index levels)",2026-06-13T15:27:00
2022-03-01,Alimentos y bebidas no alcohólicas,736.9451,"INDEC IPC cuadros (divisions, index levels)",2026-06-13T15:27:00
2022-04-01,Alimentos y bebidas no alcohólicas,780.1457,"INDEC IPC cuadros (divisions, index levels)",2026-06-13T15:27:00
2022-05-01,Alimentos y bebidas no alcohólicas,814.5693,"INDEC IPC cuadros (divisions, index levels)",2026-06-13T15:27:00
2022-06-01,Alimentos y bebidas no alcohólicas,852.1804,"INDEC IPC cuadros (divisions, index levels)",2026-06-13T15:27:00
2022-07-01,Alimentos y bebidas no alcohólicas,903.4609,"INDEC IPC cuadros (divisions, index levels)",2026-06-13T15:27:00
2022-08-01,Alimentos y bebidas no alcohólicas,967.5805,"INDEC IPC cuadros (divisions, index levels)",2026-06-13T15:27:00
2022-09-01,Alimentos y bebidas no alcohólicas,1032.8063,"INDEC IPC cuadros (divisions, index levels)",2026-06-13T15:27:00
2022-10-01,Alimentos y bebidas no alcohólicas,1096.5069,"INDEC IPC cuadros (divisions, index levels)",2026-06-13T15:27:00
2022-11-01,Alimentos y bebidas no alcohólicas,1135.001,"INDEC IPC cuadros (divisions, index levels)",2026-06-13T15:27:00
2022-12-01,Alimentos y bebidas no alcohólicas,1187.9252,"INDEC IPC cuadros (divisions, index levels)",2026-06-13T15:27:00
2023-01-01,Alimentos y bebidas no alcohólicas,1268.3385,"INDEC IPC cuadros (divisions, index levels)",2026-06-13T15:27:00
2023-02-01,Alimentos y bebidas no alcohólicas,1392.3999,"INDEC IPC cuadros (divisions, index levels)",2026-06-13T15:27:00
2023-03-01,Alimentos y bebidas no alcohólicas,1522.5337,"INDEC IPC cuadros (divisions, index levels)",2026-06-13T15:27:00
2023-04-01,Alimentos y bebidas no alcohólicas,1677.0441,"INDEC IPC cuadros (divisions, index levels)",2026-06-13T15:27:00
2023-05-01,Alimentos y bebidas no alcohólicas,1774.4119,"INDEC IPC cuadros (divisions, index levels)",2026-06-13T15:27:00
2023-06-01,Alimentos y bebidas no alcohólicas,1848.0332,"INDEC IPC cuadros (divisions, index levels)",2026-06-13T15:27:00
2023-07-01,Alimentos y bebidas no alcohólicas,1954.5101,"INDEC IPC cuadros (divisions, index levels)",2026-06-13T15:27:00
2023-08-01,Alimentos y bebidas no alcohólicas,2259.2334,"INDEC IPC cuadros (divisions, index levels)",2026-06-13T15:27:00
2023-09-01,Alimentos y bebidas no alcohólicas,2583.3826,"INDEC IPC cuadros (divisions, index levels)",2026-06-13T15:27:00
2023-10-01,Alimentos y bebidas no alcohólicas,2782.4454,"INDEC IPC cuadros (divisions, index levels)",2026-06-13T15:27:00
2023-11-01,Alimentos y bebidas no alcohólicas,3218.3702,"INDEC IPC cuadros (divisions, index levels)",2026-06-13T15:27:00
2023-12-01,Alimentos y bebidas no alcohólicas,4173.6759,"INDEC IPC cuadros (divisions, index levels)",2026-06-13T15:27:00
2024-01-01,Alimentos y bebidas no alcohólicas,5024.9656,"INDEC IPC cuadros (divisions, index levels)",2026-06-13T15:27:00
2024-02-01,Alimentos y bebidas no alcohólicas,5622.8372,"INDEC IPC cuadros (divisions, index levels)",2026-06-13T15:27:00
2024-03-01,Alimentos y bebidas no alcohólicas,6216.0451,"INDEC IPC cuadros (divisions, index levels)",2026-06-13T15:27:00
2024-04-01,Alimentos y bebidas no alcohólicas,6590.0877,"INDEC IPC cuadros (divisions, index levels)",2026-06-13T15:27:00
2024-05-01,Alimentos y bebidas no alcohólicas,6909.5535,"INDEC IPC cuadros (divisions, index levels)",2026-06-13T15:27:00
2024-06-01,Alimentos y bebidas no alcohólicas,7117.2232,"INDEC IPC cuadros (divisions, index levels)",2026-06-13T15:27:00
2024-07-01,Alimentos y bebidas no alcohólicas,7345.4071,"INDEC IPC cuadros (divisions, index levels)",2026-06-13T15:27:00
2024-08-01,Alimentos y bebidas no alcohólicas,7611.7813,"INDEC IPC cuadros (divisions, index levels)",2026-06-13T15:27:00
2024-09-01,Alimentos y bebidas no alcohólicas,7787.1421,"INDEC IPC cuadros (divisions, index levels)",2026-06-13T15:27:00
2024-10-01,Alimentos y bebidas no alcohólicas,7880.5855,"INDEC IPC cuadros (divisions, index levels)",2026-06-13T15:27:00
2024-11-01,Alimentos y bebidas no alcohólicas,7952.0427,"INDEC IPC cuadros (divisions, index levels)",2026-06-13T15:27:00
2024-12-01,Alimentos y bebidas no alcohólicas,8127.7647,"INDEC IPC cuadros (divisions, index levels)",2026-06-13T15:27:00
2025-01-01,Alimentos y bebidas no alcohólicas,8278.1147,"INDEC IPC cuadros (divisions, index levels)",2026-06-13T15:27:00
2025-02-01,Alimentos y bebidas no alcohólicas,8546.6547,"INDEC IPC cuadros (divisions, index levels)",2026-06-13T15:27:00
2025-03-01,Alimentos y bebidas no alcohólicas,9051.2822,"INDEC IPC cuadros (divisions, index levels)",2026-06-13T15:27:00
2025-04-01,Alimentos y bebidas no alcohólicas,9318.2093,"INDEC IPC cuadros (divisions, index levels)",2026-06-13T15:27:00
2025-05-01,Alimentos y bebidas no alcohólicas,9365.3121,"INDEC IPC cuadros (divisions, index levels)",2026-06-13T15:27:00
2025-06-01,Alimentos y bebidas no alcohólicas,9418.0826,"INDEC IPC cuadros (divisions, index levels)",2026-06-13T15:27:00
2025-07-01,Alimentos y bebidas no alcohólicas,9596.7407,"INDEC IPC cuadros (divisions, index levels)",2026-06-13T15:27:00
2025-08-01,Alimentos y bebidas no alcohólicas,9729.0211,"INDEC IPC cuadros (divisions, index levels)",2026-06-13T15:27:00
2025-09-01,Alimentos y bebidas no alcohólicas,9910.131,"INDEC IPC cuadros (divisions, index levels)",2026-06-13T15:27:00
2025-10-01,Alimentos y bebidas no alcohólicas,10136.6605,"INDEC IPC cuadros (divisions, index levels)",2026-06-13T15:27:00
2025-11-01,Alimentos y bebidas no alcohólicas,10421.9128,"INDEC IPC cuadros (divisions, index levels)",2026-06-13T15:27:00
2025-12-01,Alimentos y bebidas no alcohólicas,10748.4071,"INDEC IPC cuadros (divisions, index levels)",2026-06-13T15:27:00
2026-01-01,Alimentos y bebidas no alcohólicas,11251.1166,"INDEC IPC cuadros (divisions, index levels)",2026-06-13T15:27:00
2026-02-01,Alimentos y bebidas no alcohólicas,11624.9808,"INDEC IPC cuadros (divisions, index levels)",2026-06-13T15:27:00
2026-03-01,Alimentos y bebidas no alcohólicas,12014.7,"INDEC IPC cuadros (divisions, index levels)",2026-06-13T15:27:00
2026-04-01,Alimentos y bebidas no alcohólicas,12194.882,"INDEC IPC cuadros (divisions, index levels)",2026-06-13T15:27:00
2026-05-01,Alimentos y bebidas no alcohólicas,12494.9767,"INDEC IPC cuadros (divisions, index levels)",2026-06-13T15:27:00
2022-01-01,Bebidas alcohólicas y tabaco,500.7578,"INDEC IPC cuadros (divisions, index levels)",2026-06-13T15:27:00
2022-02-01,Bebidas alcohólicas y tabaco,514.0762,"INDEC IPC cuadros (divisions, index levels)",2026-06-13T15:27:00
2022-03-01,Bebidas alcohólicas y tabaco,543.6306,"INDEC IPC cuadros (divisions, index levels)",2026-06-13T15:27:00
2022-04-01,Bebidas alcohólicas y tabaco,561.8137,"INDEC IPC cuadros (divisions, index levels)",2026-06-13T15:27:00
2022-05-01,Bebidas alcohólicas y tabaco,593.5899,"INDEC IPC cuadros (divisions, index levels)",2026-06-13T15:27:00
2022-06-01,Bebidas alcohólicas y tabaco,633.4988,"INDEC IPC cuadros (divisions, index levels)",2026-06-13T15:27:00
2022-07-01,Bebidas alcohólicas y tabaco,674.3455,"INDEC IPC cuadros (divisions, index levels)",2026-06-13T15:27:00
2022-08-01,Bebidas alcohólicas y tabaco,721.689,"INDEC IPC cuadros (divisions, index levels)",2026-06-13T15:27:00
2022-09-01,Bebidas alcohólicas y tabaco,789.7014,"INDEC IPC cuadros (divisions, index levels)",2026-06-13T15:27:00
2022-10-01,Bebidas alcohólicas y tabaco,832.7248,"INDEC IPC cuadros (divisions, index levels)",2026-06-13T15:27:00
2022-11-01,Bebidas alcohólicas y tabaco,885.54,"INDEC IPC cuadros (divisions, index levels)",2026-06-13T15:27:00
2022-12-01,Bebidas alcohólicas y tabaco,948.7615,"INDEC IPC cuadros (divisions, index levels)",2026-06-13T15:27:00
2023-01-01,Bebidas alcohólicas y tabaco,1017.8777,"INDEC IPC cuadros (divisions, index levels)",2026-06-13T15:27:00
2023-02-01,Bebidas alcohólicas y tabaco,1071.1087,"INDEC IPC cuadros (divisions, index levels)",2026-06-13T15:27:00
2023-03-01,Bebidas alcohólicas y tabaco,1159.8526,"INDEC IPC cuadros (divisions, index levels)",2026-06-13T15:27:00
2023-04-01,Bebidas alcohólicas y tabaco,1203.7907,"INDEC IPC cuadros (divisions, index levels)",2026-06-13T15:27:00
2023-05-01,Bebidas alcohólicas y tabaco,1305.3763,"INDEC IPC cuadros (divisions, index levels)",2026-06-13T15:27:00
2023-06-01,Bebidas alcohólicas y tabaco,1364.1997,"INDEC IPC cuadros (divisions, index levels)",2026-06-13T15:27:00
2023-07-01,Bebidas alcohólicas y tabaco,1487.5243,"INDEC IPC cuadros (divisions, index levels)",2026-06-13T15:27:00
2023-08-01,Bebidas alcohólicas y tabaco,1613.6846,"INDEC IPC cuadros (divisions, index levels)",2026-06-13T15:27:00
2023-09-01,Bebidas alcohólicas y tabaco,1799.9953,"INDEC IPC cuadros (divisions, index levels)",2026-06-13T15:27:00
2023-10-01,Bebidas alcohólicas y tabaco,1977.1526,"INDEC IPC cuadros (divisions, index levels)",2026-06-13T15:27:00
2023-11-01,Bebidas alcohólicas y tabaco,2209.6412,"INDEC IPC cuadros (divisions, index levels)",2026-06-13T15:27:00
2023-12-01,Bebidas alcohólicas y tabaco,2656.6774,"INDEC IPC cuadros (divisions, index levels)",2026-06-13T15:27:00
2024-01-01,Bebidas alcohólicas y tabaco,3215.0859,"INDEC IPC cuadros (divisions, index levels)",2026-06-13T15:27:00
2024-02-01,Bebidas alcohólicas y tabaco,3783.276,"INDEC IPC cuadros (divisions, index levels)",2026-06-13T15:27:00
2024-03-01,Bebidas alcohólicas y tabaco,4248.8502,"INDEC IPC cuadros (divisions, index levels)",2026-06-13T15:27:00
2024-04-01,Bebidas alcohólicas y tabaco,4481.9882,"INDEC IPC cuadros (divisions, index levels)",2026-06-13T15:27:00
2024-05-01,Bebidas alcohólicas y tabaco,4781.4925,"INDEC IPC cuadros (divisions, index levels)",2026-06-13T15:27:00
2024-06-01,Bebidas alcohólicas y tabaco,4880.2257,"INDEC IPC cuadros (divisions, index levels)",2026-06-13T15:27:00
2024-07-01,Bebidas alcohólicas y tabaco,5178.7502,"INDEC IPC cuadros (divisions, index levels)",2026-06-13T15:27:00
2024-08-01,Bebidas alcohólicas y tabaco,5336.2611,"INDEC IPC cuadros (divisions, index levels)",2026-06-13T15:27:00
2024-09-01,Bebidas alcohólicas y tabaco,5453.5896,"INDEC IPC cuadros (divisions, index levels)",2026-06-13T15:27:00
2024-10-01,Bebidas alcohólicas y tabaco,5617.0301,"INDEC IPC cuadros (divisions, index levels)",2026-06-13T15:27:00
2024-11-01,Bebidas alcohólicas y tabaco,5841.4971,"INDEC IPC cuadros (divisions, index levels)",2026-06-13T15:27:00
2024-12-01,Bebidas alcohólicas y tabaco,5987.6081,"INDEC IPC cuadros (divisions, index levels)",2026-06-13T15:27:00
2025-01-01,Bebidas alcohólicas y tabaco,6132.7085,"INDEC IPC cuadros (divisions, index levels)",2026-06-13T15:27:00
2025-02-01,Bebidas alcohólicas y tabaco,6212.9468,"INDEC IPC cuadros (divisions, index levels)",2026-06-13T15:27:00
