date,series,value,source,retrieved_at
2022-01-01,emae,139.63796162489982,datos.gob.ar Series de Tiempo (MECON/INDEC),2026-06-13T15:27:17
2022-02-01,emae,137.8495135303948,datos.gob.ar Series de Tiempo (MECON/INDEC),2026-06-13T15:27:17
2022-03-01,emae,153.93085077631503,datos.gob.ar Series de Tiempo (MECON/INDEC),2026-06-13T15:27:17
2022-04-01,emae,157.66169211629364,datos.gob.ar Series de Tiempo (MECON/INDEC),2026-06-13T15:27:17
2022-05-01,emae,164.68936308999193,datos.gob.ar Series de Tiempo (MECON/INDEC),2026-06-13T15:27:17
2022-06-01,emae,161.45483436245786,datos.gob.ar Series de Tiempo (MECON/INDEC),2026-06-13T15:27:17
2022-07-01,emae,152.44538769471922,datos.gob.ar Series de Tiempo (MECON/INDEC),2026-06-13T15:27:17
2022-08-01,emae,151.46573902517952,datos.gob.ar Series de Tiempo (MECON/INDEC),2026-06-13T15:27:17
2022-09-01,emae,149.17434933730516,datos.gob.ar Series de Tiempo (MECON/INDEC),2026-06-13T15:27:17
2022-10-01,emae,146.5543949892783,datos.gob.ar Series de Tiempo (MECON/INDEC),2026-06-13T15:27:17
2022-11-01,emae,148.0304944353064,datos.gob.ar Series de Tiempo (MECON/INDEC),2026-06-13T15:27:17
2022-12-01,emae,146.18080800460334,datos.gob.ar Series de Tiempo (MECON/INDEC),2026-06-13T15:27:17
2023-01-01,emae,143.03019028687322,datos.gob.ar Series de Tiempo (MECON/INDEC),2026-06-13T15:27:17
2023-02-01,emae,137.26202711167147,datos.gob.ar Series de Tiempo (MECON/INDEC),2026-06-13T15:27:17
2023-03-01,emae,155.06056763767785,datos.gob.ar Series de Tiempo (MECON/INDEC),2026-06-13T15:27:17
2023-04-01,emae,150.02108492538545,datos.gob.ar Series de Tiempo (MECON/INDEC),2026-06-13T15:27:17
2023-05-01,emae,153.7724057047539,datos.gob.ar Series de Tiempo (MECON/INDEC),2026-06-13T15:27:17
2023-06-01,emae,152.5570318845307,datos.gob.ar Series de Tiempo (MECON/INDEC),2026-06-13T15:27:17
2023-07-01,emae,150.2229736893173,datos.gob.ar Series de Tiempo (MECON/INDEC),2026-06-13T15:27:17
