date,series,value,source,retrieved_at
2022-01-01,cpi_core,625.1594,INDEC IPC cuadros (index levels),2026-06-13T15:27:00
2022-02-01,cpi_core,652.9838,INDEC IPC cuadros (index levels),2026-06-13T15:27:00
2022-03-01,cpi_core,694.7515,INDEC IPC cuadros (index levels),2026-06-13T15:27:00
2022-04-01,cpi_core,741.3622,INDEC IPC cuadros (index levels),2026-06-13T15:27:00
2022-05-01,cpi_core,779.9267,INDEC IPC cuadros (index levels),2026-06-13T15:27:00
2022-06-01,cpi_core,819.5734,INDEC IPC cuadros (index levels),2026-06-13T15:27:00
2022-07-01,cpi_core,879.6383,INDEC IPC cuadros (index levels),2026-06-13T15:27:00
2022-08-01,cpi_core,939.4677,INDEC IPC cuadros (index levels),2026-06-13T15:27:00
2022-09-01,cpi_core,991.2585,INDEC IPC cuadros (index levels),2026-06-13T15:27:00
2022-10-01,cpi_core,1046.265,INDEC IPC cuadros (index levels),2026-06-13T15:27:00
2022-11-01,cpi_core,1096.024,INDEC IPC cuadros (index levels),2026-06-13T15:27:00
2022-12-01,cpi_core,1153.5771,INDEC IPC cuadros (index levels),2026-06-13T15:27:00
2023-01-01,cpi_core,1215.3182,INDEC IPC cuadros (index levels),2026-06-13T15:27:00
2023-02-01,cpi_core,1308.7788,INDEC IPC cuadros (index levels),2026-06-13T15:27:00
2023-03-01,cpi_core,1403.1434,INDEC IPC cuadros (index levels),2026-06-13T15:27:00
2023-04-01,cpi_core,1521.0163,INDEC IPC cuadros (index levels),2026-06-13T15:27:00
2023-05-01,cpi_core,1640.2912,INDEC IPC cuadros (index levels),2026-06-13T15:27:00
2023-06-01,cpi_core,1746.7824,INDEC IPC cuadros (index levels),2026-06-13T15:27:00
2023-07-01,cpi_core,1860.2801,INDEC IPC cuadros (index levels),2026-06-13T15:27:00
2023-08-01,cpi_core,2116.751,INDEC IPC cuadros (index levels),2026-06-13T15:27:00
2023-09-01,cpi_core,2400.9928,INDEC IPC cuadros (index levels),2026-06-13T15:27:00
2023-10-01,cpi_core,2612.5451,INDEC IPC cuadros (index levels),2026-06-13T15:27:00
2023-11-01,cpi_core,2962.7206,INDEC IPC cuadros (index levels),2026-06-13T15:27:00
2023-12-01,cpi_core,3799.9487,INDEC IPC cuadros (index levels),2026-06-13T15:27:00
2024-01-01,cpi_core,4568.1649,INDEC IPC cuadros (index levels),2026-06-13T15:27:00
2024-02-01,cpi_core,5129.5988,INDEC IPC cuadros (index levels),2026-06-13T15:27:00
2024-03-01,cpi_core,5612.3991,INDEC IPC cuadros (index levels),2026-06-13T15:27:00
2024-04-01,cpi_core,5965.8926,INDEC IPC cuadros (index levels),2026-06-13T15:27:00
2024-05-01,cpi_core,6188.6726,INDEC IPC cuadros (index levels),2026-06-13T15:27:00
2024-06-01,cpi_core,6414.6575,INDEC IPC cuadros (index levels),2026-06-13T15:27:00
2024-07-01,cpi_core,6657.49,INDEC IPC cuadros (index levels),2026-06-13T15:27:00
2024-08-01,cpi_core,6931.7976,INDEC IPC cuadros (index levels),2026-06-13T15:27:00
2024-09-01,cpi_core,7157.9271,INDEC IPC cuadros (index levels),2026-06-13T15:27:00
2024-10-01,cpi_core,7366.7823,INDEC IPC cuadros (index levels),2026-06-13T15:27:00
2024-11-01,cpi_core,7566.7782,INDEC IPC cuadros (index levels),2026-06-13T15:27:00
2024-12-01,cpi_core,7808.7094,INDEC IPC cuadros (index levels),2026-06-13T15:27:00
2025-01-01,cpi_core,7995.938,INDEC IPC cuadros (index levels),2026-06-13T15:27:00
2025-02-01,cpi_core,8229.4476,INDEC IPC cuadros (index levels),2026-06-13T15:27:00
2025-03-01,cpi_core,8492.1966,INDEC IPC cuadros (index levels),2026-06-13T15:27:00
2025-04-01,cpi_core,8765.1966,INDEC IPC cuadros (index levels),2026-06-13T15:27:00
2025-05-01,cpi_core,8957.7912,INDEC IPC cuadros (index levels),2026-06-13T15:27:00
2025-06-01,cpi_core,9111.304,INDEC IPC cuadros (index levels),2026-06-13T15:27:00
2025-07-01,cpi_core,9246.0737,INDEC IPC cuadros (index levels),2026-06-13T15:27:00
2025-08-01,cpi_core,9435.1467,INDEC IPC cuadros (index levels),2026-06-13T15:27:00
2025-09-01,cpi_core,9614.0254,INDEC IPC cuadros (index levels),2026-06-13T15:27:00
2025-10-01,cpi_core,9827.1413,INDEC IPC cuadros (index levels),2026-06-13T15:27:00
2025-11-01,cpi_core,10086.4793,INDEC IPC cuadros (index levels),2026-06-13T15:27:00
2025-12-01,cpi_core,10392.4922,INDEC IPC cuadros (index levels),2026-06-13T15:27:00
2026-01-01,cpi_core,10665.8531,INDEC IPC cuadros (index levels),2026-06-13T15:27:00
2026-02-01,cpi_core,10993.8681,INDEC IPC cuadros (index levels),2026-06-13T15:27:00
2026-03-01,cpi_core,11344.4566,INDEC IPC cuadros (index levels),2026-06-13T15:27:00
2026-04-01,cpi_core,11603.8447,INDEC IPC cuadros (index levels),2026-06-13T15:27:00
2026-05-01,cpi_core,11824.7213,INDEC IPC cuadros (index levels),2026-06-13T15:27:00
2022-01-01,cpi_headline,605.0317,INDEC IPC cuadros (index levels),2026-06-13T15:27:00
2022-02-01,cpi_headline,633.4341,INDEC IPC cuadros (index levels),2026-06-13T15:27:00
2022-03-01,cpi_headline,676.0566,INDEC IPC cuadros (index levels),2026-06-13T15:27:00
2022-04-01,cpi_headline,716.9399,INDEC IPC cuadros (index levels),2026-06-13T15:27:00
2022-05-01,cpi_headline,753.147,INDEC IPC cuadros (index levels),2026-06-13T15:27:00
2022-06-01,cpi_headline,793.0278,INDEC IPC cuadros (index levels),2026-06-13T15:27:00
2022-07-01,cpi_headline,851.761,INDEC IPC cuadros (index levels),2026-06-13T15:27:00
2022-08-01,cpi_headline,911.1316,INDEC IPC cuadros (index levels),2026-06-13T15:27:00
